Site_Code,Exists,District,District_Name
CCCM-SO2401-0596,yes,SO2401,Baidoa
CCCM-SO2401-0361,yes,SO2401,Baidoa
CCCM-SO2401-0363,yes,SO2401,Baidoa
CCCM-SO2401-0364,yes,SO2401,Baidoa
CCCM-SO2401-0365,yes,SO2401,Baidoa
CCCM-SO2401-0366,yes,SO2401,Baidoa
CCCM-SO2401-0775,yes,SO2401,Baidoa
CCCM-SO2401-0755,yes,SO2401,Baidoa
CCCM-SO2401-0370,yes,SO2401,Baidoa
CCCM-SO2401-0853,yes,SO2401,Baidoa
CCCM-SO2401-0372,yes,SO2401,Baidoa
CCCM-SO2401-0373,yes,SO2401,Baidoa
CCCM-SO2401-0374,yes,SO2401,Baidoa
CCCM-SO2401-0375,yes,SO2401,Baidoa
CCCM-SO2401-0377,yes,SO2401,Baidoa
CCCM-SO2401-0378,yes,SO2401,Baidoa
CCCM-SO2401-0927,yes,SO2401,Baidoa
CCCM-SO2401-0655,yes,SO2401,Baidoa
CCCM-SO2401-0383,yes,SO2401,Baidoa
CCCM-SO2401-0384,yes,SO2401,Baidoa
CCCM-SO2401-0385,yes,SO2401,Baidoa
CCCM-SO2401-0386,yes,SO2401,Baidoa
CCCM-SO2401-0928,yes,SO2401,Baidoa
CCCM-SO2401-0809,yes,SO2401,Baidoa
CCCM-SO2401-0388,yes,SO2401,Baidoa
CCCM-SO2401-0735,yes,SO2401,Baidoa
CCCM-SO2401-0736,yes,SO2401,Baidoa
CCCM-SO2401-0390,yes,SO2401,Baidoa
CCCM-SO2401-0856,yes,SO2401,Baidoa
CCCM-SO2401-0392,yes,SO2401,Baidoa
CCCM-SO2401-0615,yes,SO2401,Baidoa
CCCM-SO2401-0394,yes,SO2401,Baidoa
CCCM-SO2401-0396,yes,SO2401,Baidoa
CCCM-SO2401-0397,yes,SO2401,Baidoa
CCCM-SO2401-0901,yes,SO2401,Baidoa
CCCM-SO2401-0398,yes,SO2401,Baidoa
CCCM-SO2401-0857,yes,SO2401,Baidoa
CCCM-SO2401-0399,yes,SO2401,Baidoa
CCCM-SO2401-0657,yes,SO2401,Baidoa
CCCM-SO2401-0929,yes,SO2401,Baidoa
CCCM-SO2401-0737,yes,SO2401,Baidoa
CCCM-SO2401-0858,yes,SO2401,Baidoa
CCCM-SO2401-0930,yes,SO2401,Baidoa
CCCM-SO2401-0403,yes,SO2401,Baidoa
CCCM-SO2401-0859,yes,SO2401,Baidoa
CCCM-SO2401-0404,yes,SO2401,Baidoa
CCCM-SO2401-0405,yes,SO2401,Baidoa
CCCM-SO2401-0776,yes,SO2401,Baidoa
CCCM-SO2401-0408,yes,SO2401,Baidoa
CCCM-SO2401-0636,yes,SO2401,Baidoa
CCCM-SO2401-0411,yes,SO2401,Baidoa
CCCM-SO2401-0413,yes,SO2401,Baidoa
CCCM-SO2401-0684,yes,SO2401,Baidoa
CCCM-SO2401-0415,yes,SO2401,Baidoa
CCCM-SO2401-0416,yes,SO2401,Baidoa
CCCM-SO2401-0777,yes,SO2401,Baidoa
CCCM-SO2401-0903,yes,SO2401,Baidoa
CCCM-SO2401-0758,yes,SO2401,Baidoa
CCCM-SO2401-0418,yes,SO2401,Baidoa
CCCM-SO2401-0685,yes,SO2401,Baidoa
CCCM-SO2401-0860,yes,SO2401,Baidoa
CCCM-SO2401-0932,yes,SO2401,Baidoa
CCCM-SO2401-0420,yes,SO2401,Baidoa
CCCM-SO2401-0422,yes,SO2401,Baidoa
CCCM-SO2401-0424,yes,SO2401,Baidoa
CCCM-SO2401-0934,yes,SO2401,Baidoa
CCCM-SO2401-0428,yes,SO2401,Baidoa
CCCM-SO2401-0616,yes,SO2401,Baidoa
CCCM-SO2401-0431,yes,SO2401,Baidoa
CCCM-SO2401-0904,yes,SO2401,Baidoa
CCCM-SO2401-0433,yes,SO2401,Baidoa
CCCM-SO2401-0861,yes,SO2401,Baidoa
CCCM-SO2401-0435,yes,SO2401,Baidoa
CCCM-SO2401-0438,yes,SO2401,Baidoa
CCCM-SO2401-0440,yes,SO2401,Baidoa
CCCM-SO2401-0689,yes,SO2401,Baidoa
CCCM-SO2401-0935,yes,SO2401,Baidoa
CCCM-SO2401-0936,yes,SO2401,Baidoa
CCCM-SO2401-0739,yes,SO2401,Baidoa
CCCM-SO2401-0441,yes,SO2401,Baidoa
CCCM-SO2401-0442,yes,SO2401,Baidoa
CCCM-SO2401-0905,yes,SO2401,Baidoa
CCCM-SO2401-0937,yes,SO2401,Baidoa
CCCM-SO2401-0443,yes,SO2401,Baidoa
CCCM-SO2401-0444,yes,SO2401,Baidoa
CCCM-SO2401-0446,yes,SO2401,Baidoa
CCCM-SO2401-0447,yes,SO2401,Baidoa
CCCM-SO2401-0448,yes,SO2401,Baidoa
CCCM-SO2401-0450,yes,SO2401,Baidoa
CCCM-SO2401-0452,yes,SO2401,Baidoa
CCCM-SO2401-0453,yes,SO2401,Baidoa
CCCM-SO2401-0460,yes,SO2401,Baidoa
CCCM-SO2401-0462,yes,SO2401,Baidoa
CCCM-SO2401-0863,yes,SO2401,Baidoa
CCCM-SO2401-0740,yes,SO2401,Baidoa
CCCM-SO2401-0464,yes,SO2401,Baidoa
CCCM-SO2401-0465,yes,SO2401,Baidoa
CCCM-SO2401-0864,yes,SO2401,Baidoa
CCCM-SO2401-0469,yes,SO2401,Baidoa
CCCM-SO2401-0472,yes,SO2401,Baidoa
CCCM-SO2401-0473,yes,SO2401,Baidoa
CCCM-SO2401-0474,yes,SO2401,Baidoa
CCCM-SO2401-0476,yes,SO2401,Baidoa
CCCM-SO2401-0477,yes,SO2401,Baidoa
